,dataset,notes,typo?,id,sentence,sent_length,bert-base-uncased_mlm,bert-base-uncased_mlm_zscores,bert-large-uncased_mlm,bert-large-uncased_mlm_zscores,bert-large-cased_mlm,bert-large-cased_mlm_zscores
0,LI,,,32.1.martin.1a.g.01,Kerry attempted to study physics.,7,-27.880026874001487,0.3258975095000279,-23.415676981230718,0.655121558947834,-26.039757161721354,0.371826507282041
1,LI,,,32.1.martin.1a.g.02,Jimmy attempted to weave a basket.,8,-31.754556503146887,0.04763184358741886,-32.266427402304544,0.03453791660774381,-30.894371600355953,0.020288716439488586
2,LI,,,32.1.martin.1a.g.03,Brittany attempted to touch the porcupine.,8,-51.947159194533015,-1.4025849755485487,-46.15135257947259,-0.9390244402687852,-59.18450401170412,-2.0282881121100007
3,LI,,,32.1.martin.1a.g.04,Frank attempted to eat a triple fudge sundae.,10,-51.12562760376022,-1.3435832238378362,-44.627996309804075,-0.8322120303106927,-35.0323447745468,-0.27935484261314925
4,LI,,,32.1.martin.1a.g.05,Kat attempted to keep her mail.,8,-43.211186443659244,-0.77517429409959,-34.555760275201465,-0.12598209188876774,-40.031178886885755,-0.6413360303785524
5,LI,,,32.1.martin.1a.g.06,Phillip attempted to watch a movie.,8,-21.481123957550153,0.7854616764023236,-22.82117924103477,0.6968056597778958,-19.41060736984946,0.8518639443342935
6,LI,,,32.1.martin.1a.g.07,Vivian attempted to write stories.,7,-27.453019571956247,0.3565648375698286,-31.447762131801937,0.09193986008771857,-26.77372703223955,0.31867745701482136
7,LI,,,32.1.martin.1a.g.08,Tommy attempted to take a picture.,8,-21.62719331064727,0.774971090524946,-19.11032334345009,0.9569978875057344,-18.217503534717252,0.9382603187013829
8,LI,,,32.1.martin.20a.*.01,He seems to that Kim solved the problem.,10,-48.2911145016551,-1.140010725653258,-51.579881962388754,-1.3196539210164286,-49.42282054014504,-1.3214141294541701
9,LI,,,32.1.martin.20a.*.02,They appear to that Chris is the right person for the job.,14,-31.897477367310785,0.03736737970509087,-37.871272471995326,-0.3584542030004144,-33.8576219152892,-0.19428949210679444
10,LI,,,32.1.martin.20a.*.03,She seems to that Garrett should be punished for lying.,12,-54.97409413987771,-1.6199770589396547,-57.0295760553563,-1.7017673971574439,-48.72163569414988,-1.2706391451893557
11,LI,,,32.1.martin.20a.*.04,I appear to that Data is an unsafe driver.,11,-44.55887947976589,-0.8719645463451817,-60.99950668588281,-1.980125038410503,-55.21929856017232,-1.7411552033510536
12,LI,,,32.1.martin.20a.*.05,I seem to that Robert can't be trusted.,10,-39.48245520754483,-0.5073797539258502,-39.67967839071548,-0.48525329669043515,-36.92823270242843,-0.4166420076964437
13,LI,,,32.1.martin.20a.*.06,She appears to that Kyle cheated on his homework.,11,-62.293651804327965,-2.145661924623142,-60.92132230568677,-1.9746430233125931,-55.72072328813374,-1.7774649336848518
14,LI,,,32.1.martin.20a.*.07,They seem to that Sandra hates cooking.,9,-51.3051394186914,-1.3564756209807693,-55.731184758245945,-1.610728743708931,-44.68065581470728,-0.9780191734871333
15,LI,,,32.1.martin.20a.*.08,He appears to that Erin enjoys swimming.,9,-50.67517612874508,-1.3112321537328302,-57.91001620423049,-1.7635007788998367,-47.54814547114074,-1.1856630537228636
16,LI,,,32.1.martin.20a.g.01,It seems to him that Kim solved the problem.,11,-24.952695195097476,0.5361361647550582,-27.397459255094873,0.3759329219441002,-27.258497330825776,0.28357372591830665
17,LI,,,32.1.martin.20a.g.02,It appears to them that Chris is the right person for the job.,15,-14.20703369214607,1.30788110930199,-14.048292795923771,1.3119297526435099,-13.600929520936916,1.27256085905942
18,LI,,,32.1.martin.20a.g.03,It seems to her that Garrett should be punished for lying.,13,-33.46455246489495,-0.07517871938371815,-33.5998423541605,-0.058956472930483506,-32.797519711079076,-0.11752418115448673
19,LI,,,32.1.martin.20a.g.04,It appears to me that Dana is an unsafe driver.,12,-33.64477185884607,-0.08812193429448822,-32.565381915454054,0.013576272471604844,-30.80158406449482,0.027007751655706812
20,LI,,,32.1.martin.20a.g.05,It seems to me that Robert can't be trusted.,11,-13.27884252783332,1.3745430675662391,-10.63644456435577,1.5511566093421962,-10.728138596135523,1.4805886206917642
21,LI,,,32.1.martin.20a.g.06,It appears to her that Kyle cheated on his homework.,12,-41.8497192338109,-0.6773947915460908,-34.34271130396519,-0.11104384368646716,-32.70129295438528,-0.11055610121823647
22,LI,,,32.1.martin.20a.g.07,It seems to them that Sandra hates cooking.,10,-30.10663657746045,0.16598415454727533,-29.070474516309332,0.25862694729782154,-29.035951916128397,0.1548626889989688
23,LI,,,32.1.martin.20a.g.08,It appears to him that Erin enjoys swimming.,10,-24.36190716922283,0.5785660953965912,-25.86742680889438,0.48321344203433003,-24.639520857832395,0.47322199051739167
24,LI,,,32.1.martin.22a.g.01,Ginny remembered to bring the beer.,8,-24.857778461184353,0.5429530098166898,-24.585514224403596,0.5730966658286317,-30.611720108427107,0.040756393596351435
25,LI,,,32.1.martin.22a.g.02,Thomas tried to stop the thief.,8,-20.833064642138197,0.8320047859445658,-22.558106115058763,0.7152514266284965,-23.63072583428584,0.546271988302645
26,LI,,,32.1.martin.22a.g.03,Susan attempted to perform a backflip.,8,-27.15199277587817,0.3781843449386963,-24.60992831324984,0.571384835366828,-31.290333519413252,-0.008384122576400492
