,dataset,notes,typo?,id,sentence,label,bert-base-uncased_acc,bert-base-uncased_acc_zscores,bert-large-uncased_acc,bert-large-uncased_acc_zscores,bert-large-cased_acc,bert-large-cased_acc_zscores
0,LI,,,32.1.martin.1a.g.01,Kerry attempted to study physics.,1,0.9976054430007935,0.6947122232712164,0.9992130398750305,0.7231340017084691,0.9988734722137451,0.7323396034920368
1,LI,,,32.1.martin.1a.g.02,Jimmy attempted to weave a basket.,1,0.997157871723175,0.6942164252024524,0.9994603395462036,0.7233990490163283,0.9994628429412842,0.732969616167139
2,LI,,,32.1.martin.1a.g.03,Brittany attempted to touch the porcupine.,1,0.9975955486297607,0.6947012627599081,0.9995173215866089,0.7234601204133669,0.9994843006134033,0.732992553521815
3,LI,,,32.1.martin.1a.g.04,Frank attempted to eat a triple fudge sundae.,1,0.9973057508468628,0.6943802386274894,0.9996635913848877,0.72361688736769,0.9995923638343811,0.7331080685885586
4,LI,,,32.1.martin.1a.g.05,Kat attempted to keep her mail.,1,0.9949968457221985,0.6918225438892136,0.9988884329795837,0.7227860991684352,0.9806249737739563,0.7128327213524095
5,LI,,,32.1.martin.1a.g.06,Phillip attempted to watch a movie.,1,0.9974308609962463,0.6945188296710819,0.9997474551200867,0.7237067696434571,0.9995011687278748,0.7330105848311853
6,LI,,,32.1.martin.1a.g.07,Vivian attempted to write stories.,1,0.9973191022872925,0.6943950287150382,0.9990640878677368,0.7229743600544947,0.9991049766540527,0.7325870720630416
7,LI,,,32.1.martin.1a.g.08,Tommy attempted to take a picture.,1,0.9977795481681824,0.6949050886539385,0.9997396469116211,0.7236984010733609,0.9993915557861328,0.7328934131777152
8,LI,,,32.1.martin.20a.*.01,He seems to that Kim solved the problem.,0,-0.9907776117324829,-1.5079234859407828,-0.9961068630218506,-1.4153814523233945,-0.9975388646125793,-1.401741744902979
9,LI,,,32.1.martin.20a.*.02,They appear to that Chris is the right person for the job.,0,0.7582890391349792,0.4296089496840493,-0.9954398274421692,-1.4146665464611983,-0.9955202341079712,-1.3995839132618293
10,LI,,,32.1.martin.20a.*.03,She seems to that Garrett should be punished for lying.,0,-0.628964364528656,-1.1071240642901088,-0.9952684640884399,-1.414482885094581,-0.9972796440124512,-1.4014646489155176
11,LI,,,32.1.martin.20a.*.04,I appear to that Data is an unsafe driver.,0,-0.9854347109794617,-1.5020048758614193,-0.9947410821914673,-1.413917655260901,-0.937523365020752,-1.3375876841756587
12,LI,,,32.1.martin.20a.*.05,I seem to that Robert can't be trusted.,0,0.9801517724990845,0.6753778813231851,-0.9949840903282166,-1.414178103049318,-0.991309642791748,-1.3950829671256466
13,LI,,,32.1.martin.20a.*.06,She appears to that Kyle cheated on his homework.,0,-0.994827926158905,-1.5124102306693386,-0.9960498213768005,-1.4153203170441413,-0.9975014328956604,-1.4017017319620442
14,LI,,,32.1.martin.20a.*.07,They seem to that Sandra hates cooking.,0,-0.9873135685920715,-1.5040861845208386,-0.995736300945282,-1.4149842965959998,-0.9967464804649353,-1.4008947193666916
