dataset,phenomenon,gramm_id,gramm_sentence,ungramm_id,ungramm_sentence,gramm_judgement,ungramm_judgement,human_judge_delta,norm_human_judge_delta,bert-base-uncased_acc_gramm,bert-base-uncased_acc_zscores_gramm,bert-large-uncased_acc_gramm,bert-large-uncased_acc_zscores_gramm,bert-large-cased_acc_gramm,bert-large-cased_acc_zscores_gramm,bert-base-uncased_acc_ungramm,bert-base-uncased_acc_zscores_ungramm,bert-large-uncased_acc_ungramm,bert-large-uncased_acc_zscores_ungramm,bert-large-cased_acc_ungramm,bert-large-cased_acc_zscores_ungramm,bert-base-uncased_mlm_gramm,bert-base-uncased_mlm_zscores_gramm,bert-large-uncased_mlm_gramm,bert-large-uncased_mlm_zscores_gramm,bert-large-cased_mlm_gramm,bert-large-cased_mlm_zscores_gramm,bert-base-uncased_mlm_ungramm,bert-base-uncased_mlm_zscores_ungramm,bert-large-uncased_mlm_ungramm,bert-large-uncased_mlm_zscores_ungramm,bert-large-cased_mlm_ungramm,bert-large-cased_mlm_zscores_ungramm,slor_gramm,slor_zscores_gramm,slor_ungramm,slor_zscores_ungramm,logProb_gramm,logProb_zscores_gramm,logProb_ungramm,logProb_zscores_ungramm,bert-base-uncased_acc_zscore-delta,bert-large-uncased_acc_zscore-delta,bert-large-cased_acc_zscore-delta,bert-base-uncased_mlm_zscore-delta,bert-large-uncased_mlm_zscore-delta,bert-large-cased_mlm_zscore-delta,slor_zscore-delta,logProb_zscore-delta
LI,,32.1.martin.1a.g.01,Kerry attempted to study physics.,32.1.martin.2c.*.01,Sarah saw pictures of.,1.467188,-1.04705,2.5142379999999998,0.859316764218706,0.9976054430007936,0.6947122232712164,0.9992130398750304,0.7231340017084691,0.9988734722137452,0.7323396034920368,-0.9795934557914734,-1.4955342125588649,-0.9932609796524048,-1.4123313321110431,0.9989592432975768,0.7324312891958669,-27.880026874001487,0.3258975095000279,-23.415676981230718,0.655121558947834,-26.039757161721354,0.37182650728204103,-25.625587418675426,0.4878095753097652,-29.7586383074522,0.21037531080187424,-26.67488819360733,0.3258346859608932,0.809042857,0.9992578747786889,0.546816667,0.17909205074735804,-17.3848,0.8495699001837734,-13.7006,1.2587511729702334,2.1902464358300815,2.1354653338195124,-9.168570383011332e-05,-0.16191206580973733,0.44474624814595975,0.04599182132114782,0.8201658240313309,-0.40918127278646
LI,,32.1.martin.1a.g.02,Jimmy attempted to weave a basket.,32.1.martin.2c.*.02,Jimmy saw baskets of.,1.2908600000000001,-0.9567700000000001,2.24763,0.7910090711226746,0.997157871723175,0.6942164252024524,0.9994603395462036,0.7233990490163283,0.9994628429412842,0.732969616167139,-0.9635413885116576,-1.477752499667564,0.9903351664543152,0.7136190013911894,0.9985663294792176,0.7320112807457987,-31.75455650314689,0.047631843587418864,-32.26642740230455,0.034537916607743815,-30.894371600355953,0.020288716439488583,-39.899603515863426,-0.53733901683235,-40.36119363456965,-0.5330387603200828,-36.092122118920095,-0.35609662945024273,0.7876,0.9321909716558886,0.254133333,-0.7363346951865518,-19.6516,0.5978104655297516,-16.6824,0.9275811172743789,2.1719689248700162,0.009780047625138955,0.0009583354213402728,0.5849708604197689,0.5675766769278267,0.3763853458897313,1.6685256668424404,-0.3297706517446273
LI,,32.1.martin.1a.g.03,Brittany attempted to touch the porcupine.,32.1.martin.2c.*.03,Brittany touched plenty of.,1.4906709999999999,-1.19339,2.684061,0.9028271516213621,0.9975955486297609,0.6947012627599081,0.9995173215866088,0.7234601204133669,0.9994843006134032,0.7329925535218149,-0.9899681806564332,-1.5070268368831432,0.9816216230392456,0.7042801243392188,-0.9940757751464844,-1.3980398470028863,-51.94715919453302,-1.4025849755485489,-46.15135257947259,-0.9390244402687852,-59.18450401170412,-2.0282881121100007,-35.607695705723025,-0.229097578738697,-39.02847588853911,-0.43959325641414815,-36.012168386951096,-0.3503069300495412,0.493825,0.013349817937397875,-0.09303333300000001,-1.8221691600662795,-22.3366,0.29960414735168134,-19.5055,0.6140368875356417,2.2017280996430513,0.01917999607414811,2.131032400524701,-1.1734873968098518,-0.49943118385463703,-1.6779811820604595,1.8355189780036774,-0.31443274018396034
LI,,32.1.martin.1a.g.04,Frank attempted to eat a triple fudge sundae.,32.1.martin.2c.*.04,Frank ate mountains of.,1.2032610000000001,-0.83365,2.036911,0.7370207107527582,0.9973057508468628,0.6943802386274894,0.9996635913848876,0.7236168873676899,0.9995923638343812,0.7331080685885586,0.9748010635375975,0.6694506216836925,0.9031342267990112,0.6201600243177747,-0.988514482975006,-1.3920950581047202,-51.12562760376022,-1.3435832238378362,-44.627996309804075,-0.8322120303106927,-35.0323447745468,-0.27935484261314925,-38.211086597293615,-0.4160710618227587,-43.81661831587553,-0.775321045158986,-32.58604468405247,-0.10221061408154486,1.0732899999999999,1.825744640980493,0.23398333300000002,-0.7993579246901774,-26.9594,-0.21382161342060213,-16.8967,0.90378014372296,0.024929616943796917,0.1034568630499152,2.125203126693279,-0.9275121620150775,-0.05689098515170665,-0.1771442285316044,2.6251025656706704,-1.1176017571435621
LI,,32.1.martin.1a.g.05,Kat attempted to keep her mail.,32.1.martin.2c.*.05,Kat kept tons of.,0.658771,-1.03173,1.690501,0.648266930050768,0.9949968457221984,0.6918225438892136,0.9988884329795836,0.7227860991684352,0.9806249737739564,0.7128327213524095,-0.9918789267539978,-1.5091434700820203,-0.6076033115386963,-0.9989966673138471,-0.9948750734329224,-1.3988942634645694,-43.21118644365925,-0.77517429409959,-34.555760275201465,-0.12598209188876774,-40.031178886885755,-0.6413360303785524,-36.40646617114544,-0.2864646443561873,-28.901651090011,0.27046425507627786,-30.784217458218336,0.028265321846303468,0.7894875,0.9380945123848263,0.124833333,-1.1407467832668885,-19.57,0.606873272071029,-18.7105,0.7023326130297073,2.200966013971234,1.7217827664822822,2.111726984816979,-0.48870964974340275,-0.3964463469650456,-0.6696013522248558,2.078841295651715,-0.09545934095867825
LI,,32.1.martin.1a.g.06,Phillip attempted to watch a movie.,32.1.martin.2c.*.06,Phillip saw movies of.,1.0600040000000002,-0.81429,1.8742940000000001,0.6953565741619684,0.9974308609962464,0.6945188296710819,0.9997474551200868,0.7237067696434571,0.9995011687278748,0.7330105848311853,0.7547693848609924,0.4257100449083777,-0.9938532114028932,-1.4129660657940728,0.979659914970398,0.7118011138258541,-21.48112395755016,0.7854616764023236,-22.82117924103477,0.6968056597778958,-19.410607369849462,0.8518639443342935,-38.324003249406815,-0.4241806468305864,-43.25636792182922,-0.7360382483769314,-42.361827790737145,-0.8101055953452758,0.9223,1.3534926597024575,-0.055283333,-1.7040983454875271,-17.8349,0.7995800812593973,-18.9829,0.6720788323698539,0.2688087847627042,2.1366728354375297,0.021209471005331215,1.2096423232329099,1.4328439081548272,1.6619695396795693,3.057591005189985,0.1275012488895434
LI,,32.1.martin.1a.g.07,Vivian attempted to write stories.,32.1.martin.2c.*.07,Vivian wrote stories of.,1.019069,-0.89155,1.910619,0.7046634102348295,0.9973191022872924,0.6943950287150382,0.9990640878677368,0.7229743600544947,0.9991049766540528,0.7325870720630416,-0.7608919739723206,-1.2532671642827655,-0.9937751293182372,-1.4128823800931098,0.9888544678688048,0.7216297065896687,-27.453019571956247,0.3565648375698286,-31.447762131801934,0.09193986008771857,-26.773727032239552,0.31867745701482136,-30.098511397838593,0.16656769854733353,-33.937904715538025,-0.08266022250885001,-28.016865491867065,0.2286579192465896,0.831671429,1.0700333430911115,0.253916667,-0.7370123622358637,-17.7181,0.8125523337596576,-17.4331,0.8442055183707377,1.9476621929978037,2.1358567401476045,0.010957365473372893,0.18999713902249507,0.17460008259656856,0.09001953776823177,1.8070457053269753,-0.03165318461108002
LI,,32.1.martin.1a.g.08,Tommy attempted to take a picture.,32.1.martin.2c.*.08,Tommy pictured memories of.,1.2095719999999999,-0.78961,1.9991819999999998,0.7273541555375354,0.9977795481681824,0.6949050886539385,0.9997396469116212,0.7236984010733609,0.9993915557861328,0.7328934131777152,-0.9921334385871888,-1.5094254061259176,-0.9486111402511596,-1.3644771652473862,0.981131374835968,0.7133740429227643,-21.627193310647268,0.7749710905249458,-19.11032334345009,0.9569978875057344,-18.217503534717245,0.9382603187013828,-38.21948781609535,-0.41667443073927374,-36.611285351216786,-0.2701083159835849,-37.627319753170006,-0.4672650840562322,0.8368625,1.086269475051539,0.09961666699999999,-1.2196170427524602,-16.2507,0.9755273621747415,-18.5822,0.716582099294976,2.204330494779856,2.0881755663207473,0.019519370254950874,1.1916455212642196,1.2271062034893194,1.405525402757615,2.305886517803999,0.2589452628797655
LI,,32.1.martin.20a.g.01,It seems to him that Kim solved the problem.,32.1.martin.20a.*.01,He seems to that Kim solved the problem.,0.5108199999999999,-0.9999399999999999,1.5107599999999999,0.6022154497321962,0.9978126883506776,0.6949417997641041,0.99969220161438,0.7236475508306384,0.999216616153717,0.7327064100222312,-0.9907776117324828,-1.5079234859407828,-0.9961068630218506,-1.4153814523233943,-0.9975388646125792,-1.4017417449029792,-24.95269519509748,0.5361361647550582,-27.397459255094876,0.3759329219441002,-27.258497330825772,0.28357372591830665,-48.2911145016551,-1.1400107256532581,-51.579881962388754,-1.3196539210164286,-49.42282054014503,-1.32141412945417,0.863427273,1.1693562137855695,0.70489,0.6734985988397663,-20.6399,0.4880461064029779,-20.3617,0.5189440571356183,2.202865285704887,2.1390290031540324,2.1344481549252103,1.6761468904083163,1.695586842960529,1.6049878553724766,0.49585761494580327,-0.0308979507326404
LI,,32.1.martin.20a.g.02,It appears to them that Chris is the right person for the job.,32.1.martin.20a.*.02,They appear to that Chris is the right person for the job.,0.9485239999999999,-0.97511,1.9236339999999998,0.7079979861877072,0.997834086418152,0.6949655035204878,0.9994218349456788,0.7233577811057771,0.9992212057113647,0.7327113160675369,0.7582890391349792,0.4296089496840493,-0.9954398274421692,-1.4146665464611985,-0.9955202341079712,-1.3995839132618293,-14.20703369214607,1.30788110930199,-14.048292795923775,1.31192975264351,-13.600929520936914,1.27256085905942,-31.897477367310785,0.03736737970509087,-37.87127247199533,-0.3584542030004144,-33.857621915289194,-0.19428949210679444,0.71582,0.7076844002528991,0.598121429,0.3395581445515708,-26.8274,-0.19916119107441793,-26.544,-0.1676857085523825,0.2653565538364385,2.1380243275669755,2.132295229329366,1.2705137295968991,1.6703839556439246,1.4668503511662143,0.36812625570132834,-0.03147548252203544
