,dataset,phenomenon,gramm_id,gramm_sentence,ungramm_id,ungramm_sentence,gramm_judgement,ungramm_judgement,human_judge_delta,norm_human_judge_delta,bert-base-uncased_acc_gramm,bert-base-uncased_acc_zscores_gramm,bert-large-uncased_acc_gramm,bert-large-uncased_acc_zscores_gramm,bert-large-cased_acc_gramm,bert-large-cased_acc_zscores_gramm,bert-base-uncased_acc_ungramm,bert-base-uncased_acc_zscores_ungramm,bert-large-uncased_acc_ungramm,bert-large-uncased_acc_zscores_ungramm,bert-large-cased_acc_ungramm,bert-large-cased_acc_zscores_ungramm,bert-base-uncased_mlm_gramm,bert-base-uncased_mlm_zscores_gramm,bert-large-uncased_mlm_gramm,bert-large-uncased_mlm_zscores_gramm,bert-large-cased_mlm_gramm,bert-large-cased_mlm_zscores_gramm,bert-base-uncased_mlm_ungramm,bert-base-uncased_mlm_zscores_ungramm,bert-large-uncased_mlm_ungramm,bert-large-uncased_mlm_zscores_ungramm,bert-large-cased_mlm_ungramm,bert-large-cased_mlm_zscores_ungramm,slor_gramm,slor_zscores_gramm,slor_ungramm,slor_zscores_ungramm,logProb_gramm,logProb_zscores_gramm,logProb_ungramm,logProb_zscores_ungramm,bert-base-uncased_acc_zscore-delta,bert-large-uncased_acc_zscore-delta,bert-large-cased_acc_zscore-delta,bert-base-uncased_mlm_zscore-delta,bert-large-uncased_mlm_zscore-delta,bert-large-cased_mlm_zscore-delta,slor_zscore-delta,logProb_zscore-delta
20,LI,,32.1.martin.22a.g.05,Sarah hoped to go to the party.,32.1.martin.26a.??.05,Sarah hoped to have gone to the party.,1.363676,0.037034,1.326642,0.5550425373010047,0.9976646304130554,0.6947777882575372,0.999400556087494,0.7233349751552093,0.9996026754379272,0.7331190912617779,-0.9693402647972108,-1.484176217647586,0.9921976327896118,0.7156151289469078,0.997725546360016,0.7311125187317421,-23.834504686295986,0.6164437262738062,-22.56545515090693,0.7147361379560826,-22.74820581637323,0.6101780186152369,-24.18970998935401,0.5909331612112456,-26.645112164318558,0.4286848667719929,-22.94852312840521,0.5956724165268766,0.650122222,0.5022012170880237,0.7078,0.6826002165993469,-17.1697,0.8734597247797149,-18.9694,0.6735781937461682,2.178954005905123,0.007719846208301462,0.0020065725300357773,0.025510565062560553,0.2860512711840897,0.01450560208836027,-0.1803989995113232,0.19988153103354667
21,LI,,32.1.martin.22a.g.06,Scott intended to run for class president.,32.1.martin.26a.??.06,Scott intended to have run for class president.,1.387604,-0.35120999999999997,1.738814,0.6606452141853348,0.9978477954864502,0.6949806897710958,0.9996129274368286,0.7235625874853858,0.999542474746704,0.7330547392389367,0.994745135307312,0.6915437111226148,0.9990325570106506,0.7229405663630369,-0.9678508043289183,-1.3700064492665551,-18.68441082816571,0.9863194103219768,-23.255853982613193,0.6663277882383609,-19.406927238684148,0.8521304341237953,-29.763411888037812,0.1906342813759365,-27.50711955722727,0.3682439253641717,-36.570372440852225,-0.3907282286775233,0.272433333,-0.6790977175232096,0.27498,-0.6711324977311347,-24.1683,0.09616857453724184,-26.2972,-0.14027516131724366,0.003436978648481026,0.0006220211223488814,2.103061188505492,0.7956851289460403,0.2980838628741892,1.2428586628013187,-0.007965219792074874,0.2364437358544855
24,LI,,32.1.martin.23a.g.01,Gino believed Rebecca to be the best.,32.1.martin.39a.*.01,Gino believed Rebecca to win the game.,0.800795,-0.21893,1.019725,0.4764072666341279,0.9978777170181274,0.6950138354137273,0.9989663362503052,0.7228695932227547,0.9987768530845642,0.7322363216811204,0.9971801638603209,0.6942411193664846,0.9996609687805176,0.7236140765502531,0.9990775585174559,0.7325577632209556,-30.260774877853688,0.15491406323117826,-37.08142394968309,-0.3030727890463648,-32.97509369207546,-0.13038286762272538,-43.482048470526934,-0.7946273915052231,-46.58533764630556,-0.9694539542289968,-37.473793294280775,-0.456147753756159,0.23823333300000002,-0.7860651839760132,0.555433333,0.20604242885525317,-25.6695,-0.07056041050891043,-25.0032,0.003441403197625107,0.0007727160472427164,-0.0007444833274984353,-0.00032144153983515444,0.9495414547364014,0.666381165182632,0.32576488613343363,-0.9921076128312664,-0.07400181370653554
25,LI,,32.1.martin.23a.g.02,Anthony believed Dawn to be intelligent.,32.1.martin.39a.*.02,Anthony believed Dawn to hit the ball.,0.738866,-0.50627,1.245136,0.5341598674880766,0.9972068071365356,0.6942706335144054,0.998782753944397,0.7226728360021699,0.9990653395652772,0.7325447016717651,0.9939528107643129,0.6906660118646469,-0.5389541983604431,-0.9254209017315276,0.9947281479835509,0.7279084251429937,-29.78075061089476,0.18938902795844564,-30.51100782142021,0.15762179373826005,-28.47645727684721,0.19537744294438755,-41.38336505368353,-0.6439016016868361,-56.62953895330429,-1.6737181956714875,-41.39533017575741,-0.7401184849950387,0.2949625,-0.6086331585968321,0.612344444,0.3840435211559633,-22.6491,0.2648967080851462,-22.0171,0.33508903325778705,0.0036046216497584993,1.6480937377336975,0.00463627652877141,0.8332906296452818,1.8313399894097475,0.9354959279394263,-0.9926766797527954,-0.07019232517264085
27,LI,,32.1.martin.23a.g.04,Marty believed Carla to be trustworthy.,32.1.martin.39a.*.04,Marty believed Carla to fix the computer.,1.337467,-0.47202,1.8094869999999998,0.6787523587352949,0.9974876642227172,0.6945817535703405,0.9990940690040588,0.7230064928083759,0.998698890209198,0.7321529826257974,0.99611496925354,0.6930611476942402,0.9993367791175842,0.7232666211857205,0.998438000679016,0.7318741026218609,-25.589748604455966,0.4903834907159808,-28.76341186978971,0.2801571053678101,-27.184464477584697,0.28893467600139083,-51.05732958763838,-1.338678114119822,-59.631069116294384,-1.8841749854942929,-48.73958157002926,-1.2719386621007636,0.259275,-0.7202530842995932,0.368088889,-0.379915481340336,-26.3295,-0.14386252223983267,-27.0609,-0.2250945896943729,0.001520605876100256,-0.0002601283773445706,0.00027888000393649914,1.8290616048358028,2.164332090862103,1.5608733381021545,-0.34033760295925725,0.08123206745454023
28,LI,,32.1.martin.23a.g.05,Jessica believed Brad to be vain.,32.1.martin.39a.*.05,Jessica believed Brad to start the car.,0.658391,-0.97605,1.6344409999999998,0.6339037853778267,0.9974466562271118,0.6945363268728695,0.9976329207420348,0.7214404842027216,0.9993722438812256,0.7328727695585068,0.997689723968506,0.6948055856988675,0.9966499805450441,0.7203870026038047,0.9978885650634766,0.7312867789124059,-33.145240594632924,-0.05224599239051618,-32.040857300336945,0.05035410267359135,-30.94509105745237,0.016615962171196173,-36.40132124722004,-0.2860951399726354,-49.61614156048745,-1.1819633170286994,-40.976972382515676,-0.7098238907946122,0.295875,-0.6057791289729086,0.46,-0.09244475962886184,-24.8717,0.01804629364098299,-24.4154,0.06872470816040681,-0.0002692588259980422,0.0010534815989168278,0.0015859906461008766,0.23384914758211922,1.2323174197022908,0.7264398529658084,-0.5133343693440469,-0.050678414519423814
30,LI,,32.1.martin.23a.g.07,Lacey believed John to be jealous.,32.1.martin.39a.*.07,Lacey believed John to eat the food.,0.810824,-0.37549,1.1863139999999999,0.5190890702003179,0.997764766216278,0.6948887139141524,0.999009132385254,0.7229154606527481,0.9995036721229552,0.7330132608558976,0.9973997473716736,0.6944843634849194,0.9988741874694824,0.7227708313191755,0.9993138313293456,0.7328103289818886,-27.292078412836414,0.368123504840907,-29.298039134591818,0.2426709127286824,-25.881384405132852,0.38329477313188826,-43.7921785376966,-0.8169006886330409,-57.04788053780794,-1.7030508434021758,-42.47514687478542,-0.8183113840788989,0.2671,-0.6957788028670439,0.368088889,-0.379915481340336,-23.3073,0.19179451120439914,-24.1136,0.1022437647064558,0.00040435042923303577,0.0001446293335726212,0.0002029318740089936,1.1850241934739478,1.9457217561308582,1.2016061572107872,-0.3158633215267079,0.08955074649794334
31,LI,,32.1.martin.23a.g.08,Victor believed Dana to be the youngest.,32.1.martin.39a.*.08,Victor believed Dana to throw the trash.,0.605418,-0.64556,1.250978,0.535656647566195,0.9976236820220948,0.6947324275872427,0.9993000030517578,0.723227205859389,0.999161422252655,0.7326474100488145,0.9960447549819946,0.6929833676802565,0.6368348002433777,0.3347494301257131,0.9975430965423584,0.7309174875021214,-29.561196327675127,0.205157243631518,-30.439428103680253,0.1626407130207388,-29.470763454330157,0.12337662774643215,-45.94785272330046,-0.9717195105709148,-54.68554599583149,-1.5374122133720134,-51.94533196464181,-1.504077058663457,0.293022222,-0.6147017732715138,0.426422222,-0.1974661000316305,-24.5945,0.04883318056797038,-26.4751,-0.16003341234289692,0.0017490599069862611,0.3884777757336759,0.00172992254669313,1.1768767542024328,1.7000529263927522,1.6274536864098892,-0.41723567323988325,0.2088665929108673
35,LI,,32.1.martin.25b.g.04,Betty convinced Fred that he would wash the car.,32.1.martin.26b.??.04,Betty convinced Fred to have washed the car.,0.118707,-0.63327,0.751977,0.4078074938925889,0.996817111968994,0.6938389478340778,0.9997316598892212,0.7236898408566211,0.9995699524879456,0.7330841117958969,-0.9476336240768432,-1.4601306385707065,0.9871606826782228,0.7102166985304345,-0.9974905848503112,-1.401690135854958,-32.313827987760305,0.0074654061129911155,-32.621203674934804,0.00966224607019227,-30.227269125171013,0.0685956898060642,-28.6992130279541,0.2670642052141881,-30.072569772601128,0.18836353521012225,-29.64199731126428,0.11097704945963384,0.339163636,-0.4703851020981242,0.36521,-0.38891979311018526,-30.0732,-0.559652091462641,-27.1985,-0.24037696935221356,2.1539695864047843,0.013473142326186682,2.134774247650855,-0.259598799101197,-0.17870128913992997,-0.042381359653569636,-0.08146530898793891,-0.3192751221104275
39,LI,,32.1.martin.25b.g.08,Mindy convinced George that he would finish the novel.,32.1.martin.26b.??.08,Mindy convinced George to have finished the novel.,0.763224,-0.46137,1.224594,0.5288967972442029,0.9974906444549559,0.6945850549291682,0.999806821346283,0.7237703963290749,0.9995455145835876,0.7330579886975158,0.9724884629249572,0.6668888332604701,-0.9272966384887696,-1.3416330131153478,-0.9956756234169006,-1.3997500179386084,-32.071663342416294,0.02485748018315573,-38.108091976027936,-0.3750591577667132,-37.496175080537796,-0.4577684887898806,-31.24604021757841,0.08415308264743074,-39.91619761288165,-0.5018371967432315,-35.31316691637039,-0.2996900508164407,0.40313636399999997,-0.2702973641965356,0.40601,-0.26130948225420897,-28.0776,-0.33801316090168904,-25.2126,-0.019815357706094616,0.027696221668698118,2.0654034094444227,2.1328080066361244,-0.05929560246427501,0.12677803897651824,-0.1580784379734399,-0.008987881942326637,-0.31819780319559443
